t      	v      	nai    	nass   	ki     	kss    	cai    	cass   	cansr  	cajsr  	Jrel   	CaMKt  	Jup    	Jtr    	Jdiff  	JdiffNa	JdiffK 	Jleak  	INa    	INaL   	Ito    	ICaL   	ICaNa  	ICaK   	IKr    	IKs    	IK1    	INaCa_i	INaCa_ss	INaCa  	INaK   	IKb    	INab   	IpCa   	ICab   	Ist    	dt     	APD    
2.238017e+00      	33.9936	7.21901	7.21638	144.436	144.434	8.47089e-05	0.000286214	1.59024	1.49193	0.320281	0.0119907	5.09918e-05	0.000976752	0.000994809	-0.0013187	-0.000664175	0.000417438	-5.24743	-0.158858	0.484357	-1.82763	-0.366262	0.46709	0.174773	0.000705455	9.5428e-05	0.0212778	0.00909088	0.0303687	0.193199	0.271437	-0.00204837	7.2436e-05	-0.000641532	0      	0.005  	272.099
2.288017e+00      	34.2849	7.21902	7.21648	144.436	144.434	8.47205e-05	0.000312657	1.59024	1.48541	0.339288	0.0119907	5.37114e-05	0.00104163	0.00112606	-0.00127459	-0.00067085	0.000417438	-4.98933	-0.157553	0.504092	-1.8344	-0.370115	0.478447	0.174256	0.00074646	9.27571e-05	0.0217368	0.00878267	0.0305194	0.193529	0.2732 	-0.00202982	7.24444e-05	-0.000631842	0      	0.005  	272.099
2.338017e+00      	34.5624	7.21903	7.21658	144.436	144.434	8.47336e-05	0.000340925	1.59024	1.47854	0.357757	0.0119907	5.65204e-05	0.00110997	0.00126642	-0.00123096	-0.000677892	0.000417437	-4.74581	-0.156294	0.523117	-1.83863	-0.3734	0.488985	0.173804	0.000788015	9.02813e-05	0.0221781	0.00831938	0.0304975	0.193843	0.274878	-0.00201221	7.24539e-05	-0.000622728	0      	0.005  	272.099
2.388017e+00      	34.8268	7.21904	7.21668	144.436	144.434	8.47484e-05	0.000371025	1.59024	1.47134	0.37564	0.0119908	5.94061e-05	0.00118163	0.00141593	-0.00118783	-0.000685252	0.000417437	-4.51602	-0.155079	0.541437	-1.84072	-0.376191	0.498771	0.173414	0.000830101	8.79832e-05	0.0226025	0.00770765	0.0303101	0.194143	0.276473	-0.00199551	7.24645e-05	-0.000614149	0      	0.005  	272.099
2.438017e+00      	35.0789	7.21905	7.21677	144.435	144.434	8.47649e-05	0.000402962	1.59023	1.46383	0.392901	0.011991	6.23557e-05	0.00125643	0.00157461	-0.00114522	-0.000692886	0.000417436	-4.29916	-0.153905	0.559064	-1.84101	-0.378553	0.507866	0.173083	0.000872697	8.58475e-05	0.0230106	0.00695584	0.0299664	0.19443	0.27799	-0.00197965	7.24765e-05	-0.00060607	0      	0.005  	272.099
2.488017e+00      	35.319 	7.21906	7.21687	144.435	144.434	8.47833e-05	0.000436736	1.59023	1.45602	0.409507	0.0119912	6.53569e-05	0.00133421	0.00174247	-0.00110312	-0.000700754	0.000417436	-4.09448	-0.152774	0.576007	-1.83977	-0.380542	0.516326	0.172808	0.000915786	8.38601e-05	0.023403	0.00607315	0.0294762	0.194703	0.279434	-0.0019646	7.24898e-05	-0.000598457	0      	0.005  	272.099
2.538017e+00      	35.5479	7.21907	7.21696	144.435	144.434	8.48037e-05	0.000472346	1.59023	1.44793	0.425431	0.0119914	6.83978e-05	0.00141482	0.0019195	-0.00106155	-0.000708819	0.000417435	-3.90125	-0.151682	0.592276	-1.83724	-0.382203	0.524197	0.172587	0.000959348	8.20085e-05	0.0237805	0.00506904	0.0288495	0.194964	0.280807	-0.0019503	7.25046e-05	-0.000591278	0      	0.005  	272.099
2.588017e+00      	35.7661	7.21908	7.21705	144.435	144.434	8.48262e-05	0.000509783	1.59023	1.43957	0.440653	0.0119918	7.14671e-05	0.00149806	0.00210567	-0.0010205	-0.000717047	0.000417434	-3.71878	-0.15063	0.607886	-1.8336	-0.383577	0.531522	0.172417	0.00100336	8.02815e-05	0.0241436	0.00395281	0.0280965	0.195213	0.282114	-0.00193672	7.25208e-05	-0.000584505	0      	0.005  	272.099
2.638017e+00      	35.9742	7.21909	7.21714	144.435	144.434	8.48508e-05	0.000549038	1.59022	1.43098	0.455155	0.0119921	7.45543e-05	0.00158376	0.00230092	-0.000979982	-0.000725408	0.000417433	-3.54642	-0.149616	0.622847	-1.82901	-0.384696	0.538338	0.172296	0.00104782	7.86688e-05	0.0244931	0.00273339	0.0272265	0.19545	0.283358	-0.00192381	7.25387e-05	-0.000578112	0      	0.005  	272.099
2.688017e+00      	36.1725	7.2191 	7.21723	144.435	144.434	8.48778e-05	0.000590097	1.59022	1.42215	0.468926	0.0119926	7.76496e-05	0.00167175	0.00250518	-0.000939981	-0.000733874	0.000417433	-3.38357	-0.148639	0.637174	-1.8236	-0.385589	0.544676	0.172221	0.00109269	7.71614e-05	0.0248295	0.0014192	0.0262487	0.195677	0.284542	-0.00191155	7.25582e-05	-0.000572074	0      	0.005  	272.099
2.738017e+00      	36.3616	7.2191 	7.21731	144.435	144.434	8.49072e-05	0.000632943	1.59022	1.41312	0.481956	0.0119931	8.0744e-05	0.00176185	0.00271837	-0.000900502	-0.00074242	0.000417432	-3.22964	-0.147698	0.65088	-1.81747	-0.386278	0.550565	0.172189	0.00113797	7.57508e-05	0.0251536	1.80911e-05	0.0251716	0.195894	0.28567	-0.00189988	7.25795e-05	-0.000566368	0      	0.005  	272.099
